MMT,CNF,Gelatin,Glycerol,TransVis,RR,TensileStrength
1.35,38.89,38.79,20.97,81.9,0.18,11.32
45.4,1.77,51.3,1.53,61.6,0.8,107.75
1.37,33.23,2.03,63.37,86.3,0.4,6.64
1.81,47.01,49.36,1.82,76.9,0.1,63.96
1.36,43.98,4.84,49.82,86.7,0.8,21.68
42.75,2.31,40.94,14,66.2,0.1,39.15
49.4,11.25,16.45,22.9,33.8,0.78,31.66
20.53,39.55,26.92,13,77.4,0.75,37.83
1.28,63.02,34.24,1.46,85.5,0.1,68.26
64.24,1.79,21.31,12.66,28.3,0.88,105.42
43.73,21.76,33.41,1.1,66.4,0.77,21.4
45.5,34.69,6.53,13.28,81.8,0.7,59.62
35.57,21.75,17.46,25.22,72.9,0.72,30.39
23.84,41.38,33.41,1.37,81.1,0.74,23.05
1.39,53.34,30.45,14.82,83.2,0.18,67.88
2.62,41.38,6.38,49.62,84.3,0.14,10.8
1.91,61.77,14.22,22.1,84.7,0.11,52.71
1.83,39.92,14.16,44.09,86,0.1,24.83
4.44,41.16,2.95,51.45,85.7,0.21,12.53
43.02,20.44,34.44,2.1,67.7,0.94,69.74
57.66,5.12,23.96,13.26,43.1,0.9,59.78
47.81,15.42,14.72,22.05,66.9,0.68,43.17
1.9,42.28,12.31,43.51,81.9,0.11,11.97
5.45,66.15,9.46,18.94,85.3,0.21,52.7
46.82,19.4,32.16,1.62,56.6,0.9,89.67
19.76,32.62,29.8,17.82,78.5,0.45,49.07
12.21,51.29,32.43,4.07,80.1,0.58,73.67
42.86,35.3,3.32,18.52,75.1,0.69,66.25
59.98,20.43,17.21,2.38,30,0.79,82.75
23.21,37.36,34.46,4.97,79.3,0.71,64.67
22.83,34.13,3.43,39.61,82.2,0.62,25.75
2.71,38.31,57.07,1.91,72.7,0.3,58.37
37.61,21,11.38,30.01,75.9,0.61,38.07
60.92,14.45,11.7,12.93,30.1,0.97,46.13
28.31,29.16,14.58,27.95,75.3,0.76,40.25
12.33,43.54,30.66,13.47,79.6,0.7,73.79
7.53,43.1,12.93,36.44,84.1,0.42,21.77
4.54,48.09,14.32,33.05,84,0.24,33.71
57.4,17.86,11.58,13.16,63.9,0.78,40.29
40.67,35.64,15.11,8.58,76.7,0.69,47.73
3.23,32.73,51.66,12.38,73.7,0.34,47.2
3.5,37.09,52.09,7.32,76.6,0.19,63.16
5.17,50.46,22.49,21.88,84.1,0.36,20.93
34.56,34.25,27.73,3.46,75.2,0.68,54.67
39.19,13.41,32.06,15.34,67.9,0.91,53.24
30.7,42.82,15.73,10.75,75.8,0.39,28.83
6.37,39.7,1.3,52.63,85.6,0.65,6.61
75.61,6.56,11.57,6.26,31.8,0.98,60.91
56.8,28.42,4.91,9.87,82.6,0.79,49.89
8.4,50,28.14,13.46,80.2,0.58,65.44
9.02,52.11,14.27,24.6,81.4,0.48,42.67
30.36,29.6,10.32,29.72,76.1,0.71,28.21
2.35,57.87,3.43,36.35,84.6,0.8,19.4
29.47,28.14,12.38,30.01,73.3,0.66,25.56
10.13,51.97,19.87,18.03,81,0.44,51.65
63.42,12.1,4.37,20.11,67.5,0.75,30.59
32.81,27.47,20.44,19.28,75.9,0.67,41.59
9.59,38.83,15.49,36.09,75.6,0.49,12.02
52.05,1.85,22.83,23.27,67.2,0.89,33.85
1.56,53.59,18.22,26.63,83.1,0.12,28.02
5.03,34.37,1.21,59.39,80,0.3,5.05
